ID,Name,Age,Gender,City,Salary,Joining_Date,Department,Remote_Work,Performance_Score
374,Grace,38.0,Male,New York,31524.0,2022-06-04,Finance,,
375,Bob,39.0,Other,New York,146021.0,2022-01-22,,,5.0
376,Frank,18.0,Male,Phoenix,140616.0,2022-12-14,Marketing,False,5.0
377,David,43.0,Male,nan,43350.0,2015-05-26,HR,False,5.0
378,Bob,58.0,,Chicago,112565.0,2017-07-03,,True,3.0
379,,18.0,Female,Chicago,83276.0,2019-01-02,,,5.0
380,Grace,42.0,Male,Chicago,135921.0,2021-04-08,HR,True,3.0
381,Frank,33.0,Male,nan,115469.0,2016-08-03,Finance,True,1.0
382,Bob,56.0,,nan,53150.0,2022-06-27,Support,True,1.0
383,David,49.0,,Phoenix,65111.0,2019-05-04,HR,,
384,Eve,25.0,Female,New York,87384.0,2016-04-27,Marketing,True,1.0
385,Frank,59.0,,Phoenix,136296.0,2018-06-03,Engineering,True,
386,,64.0,Other,Phoenix,58769.0,2016-11-03,Engineering,True,2.0
387,Alice,55.0,,nan,144130.0,2016-09-22,,True,2.0
388,Charlie,45.0,Other,Chicago,91268.0,2022-06-01,Engineering,True,4.0
389,Grace,58.0,Female,Los Angeles,,2016-10-23,Support,True,
390,,42.0,Female,New York,83302.0,2022-10-23,Finance,,4.0
391,Charlie,51.0,Female,nan,131371.0,2021-10-02,Marketing,True,4.0
392,,41.0,Female,Chicago,70809.0,2017-09-14,Support,False,2.0
393,David,40.0,Female,Los Angeles,N/A,2019-03-27,Marketing,True,
394,David,29.0,Other,Los Angeles,34853.0,2016-10-11,Marketing,True,2.0
395,,23.0,Other,nan,147369.0,2017-08-26,Finance,,4.0
396,Grace,52.0,Female,Houston,51792.0,2022-03-22,,,
397,Charlie,61.0,,New York,76828.0,2018-01-05,Engineering,False,4.0
398,Frank,36.0,Male,Los Angeles,126523.0,2021-12-31,Finance,False,5.0
399,Grace,,Female,nan,108411.0,2016-03-16,Support,,
400,Frank,24.0,,nan,81226.0,2017-07-09,,,
401,Bob,62.0,Male,Chicago,70809.0,2017-02-08,Support,True,4.0
402,Grace,32.0,Female,Houston,135921.0,2018-09-05,,,5.0
403,Alice,30.0,Female,New York,104182.0,2020-01-01,Support,False,3.0
404,Bob,28.0,Other,Phoenix,45850.0,2015-09-20,Finance,True,2.0
405,Bob,39.0,Male,Chicago,98247.0,2019-04-27,,False,4.0
406,,31.0,Male,Los Angeles,108617.0,2022-05-08,,True,
407,Frank,44.0,,Los Angeles,104666.0,2021-11-11,Marketing,,2.0
408,David,50.0,Other,Chicago,91396.0,2017-09-25,Marketing,False,2.0
409,Charlie,18.0,Other,nan,43350.0,2016-11-30,HR,True,2.0
410,Eve,48.0,Other,Los Angeles,54762.0,2021-06-07,Support,True,3.0
411,David,39.0,Other,Houston,56657.0,2019-05-23,Marketing,,1.0
412,Grace,38.0,Male,New York,62921.0,2018-05-26,HR,,4.0
413,Grace,41.0,Male,Houston,104182.0,2018-01-30,Marketing,,1.0
414,David,38.0,Female,Los Angeles,108617.0,2022-02-14,Support,False,1.0
415,Eve,38.0,Female,Phoenix,119599.0,2021-05-24,,True,1.0
416,Alice,58.0,Other,New York,61987.0,2018-04-05,Engineering,,2.0
417,Bob,22.0,Other,New York,91268.0,2022-04-22,Support,False,5.0
418,Frank,31.0,Other,Chicago,43350.0,2017-10-02,Finance,False,2.0
419,David,59.0,Female,Chicago,51792.0,2015-02-05,Marketing,False,2.0
420,,53.0,,Phoenix,41555.0,2017-01-13,Marketing,,
421,Bob,49.0,,nan,54762.0,2019-10-31,,,
422,Alice,24.0,Female,New York,126523.0,2015-12-19,Finance,True,1.0
423,Eve,60.0,Female,Phoenix,98247.0,2020-04-06,,True,2.0
424,David,60.0,Female,Chicago,91268.0,2015-03-14,Finance,,1.0
425,,21.0,Female,Chicago,111182.0,2022-05-19,Engineering,False,
426,,55.0,Female,New York,108617.0,2018-10-08,Marketing,False,5.0
427,,20.0,Female,Houston,70809.0,2020-03-29,Marketing,False,4.0
428,Grace,22.0,Other,Los Angeles,76828.0,2017-12-29,Engineering,True,1.0
429,Bob,61.0,Other,Chicago,54354.0,2021-10-08,HR,False,5.0
430,Bob,48.0,Other,nan,77304.0,2016-12-08,,True,4.0
431,David,46.0,Other,nan,61987.0,2019-12-10,Engineering,True,3.0
432,,63.0,Female,Chicago,91396.0,2022-02-21,,False,1.0
433,Charlie,51.0,,Houston,65111.0,2022-11-15,Support,False,1.0
434,Eve,56.0,Male,Houston,105186.0,2017-08-13,Marketing,,3.0
435,Bob,32.0,Female,Phoenix,69952.0,2022-01-08,,,3.0
436,Alice,29.0,Male,nan,131371.0,2021-10-11,Finance,False,1.0
437,Alice,58.0,,Phoenix,87492.0,2015-06-09,,True,3.0
438,Alice,46.0,Other,nan,98247.0,2021-01-05,Support,True,2.0
439,,35.0,,Los Angeles,119399.0,2022-09-24,Marketing,True,4.0
440,Frank,Unknown,Female,Los Angeles,84912.0,2019-10-02,Engineering,True,4.0
441,,35.0,Other,New York,127425.0,2019-05-05,Support,True,4.0
442,Eve,44.0,Female,Phoenix,30060.0,2015-03-08,Marketing,,2.0
443,,42.0,Other,Chicago,45850.0,2021-08-25,,False,3.0
444,Bob,53.0,Male,Phoenix,127432.0,2015-02-27,HR,,5.0
445,Bob,42.0,Male,Chicago,51792.0,2015-12-08,HR,True,3.0
446,Charlie,39.0,Male,Houston,96017.0,2018-02-27,Finance,True,1.0
447,Alice,25.0,,Phoenix,31524.0,2022-08-06,Marketing,True,
448,,28.0,Female,Houston,45850.0,2018-04-10,HR,True,4.0
449,Frank,,,Los Angeles,112565.0,2022-09-18,Engineering,False,3.0
450,Frank,,Male,Los Angeles,81226.0,2022-04-15,Marketing,True,5.0
451,Eve,63.0,Female,New York,54354.0,2018-05-17,Engineering,False,1.0
452,Frank,50.0,Male,Phoenix,51792.0,2021-07-29,Engineering,True,2.0
453,Eve,48.0,,Houston,130424.0,2019-02-03,HR,False,2.0
454,Grace,64.0,,Chicago,75186.0,2019-12-27,Marketing,,5.0
455,Charlie,41.0,,Los Angeles,131371.0,2015-04-26,,True,1.0
456,Bob,56.0,Male,Los Angeles,131332.0,2016-10-23,Support,False,4.0
457,Eve,61.0,Female,Chicago,127432.0,2019-01-05,HR,,3.0
458,Charlie,,Female,Houston,117410.0,2021-11-05,HR,True,1.0
459,,Unknown,Male,Houston,104666.0,2020-02-12,,True,2.0
460,Charlie,55.0,Female,Phoenix,119563.0,2021-05-23,Marketing,True,5.0
461,Bob,21.0,Male,Phoenix,91120.0,2017-10-13,Marketing,False,5.0
462,Eve,38.0,Female,nan,56657.0,2015-11-07,Engineering,False,3.0
463,Charlie,45.0,Other,nan,127432.0,2015-07-27,,,5.0
464,Frank,19.0,Other,New York,84912.0,2022-04-19,,False,5.0
465,,28.0,,Los Angeles,102355.0,2021-10-29,Marketing,False,1.0
466,Frank,42.0,Other,Phoenix,30060.0,2022-06-10,Engineering,True,4.0
467,Frank,32.0,Other,Houston,91120.0,2016-09-24,HR,True,3.0
468,Eve,53.0,Other,Chicago,91396.0,2020-10-03,Finance,True,1.0
469,Frank,38.0,Male,Houston,68890.0,2016-10-18,Support,True,4.0
470,Grace,Unknown,Other,Los Angeles,108617.0,2018-11-24,HR,True,1.0
471,Eve,30.0,Other,nan,131332.0,2020-04-15,Marketing,True,
472,Grace,44.0,,Houston,62921.0,2022-01-06,Support,True,1.0
473,David,21.0,Other,New York,135921.0,2019-08-07,Finance,,5.0
474,Frank,63.0,Other,Los Angeles,41046.0,2015-08-25,Finance,,4.0
475,Grace,46.0,Female,nan,84912.0,2015-12-14,Engineering,,3.0
476,Grace,62.0,,Chicago,140616.0,2022-04-28,Support,,3.0
477,Grace,21.0,,nan,111182.0,2016-09-21,Engineering,True,4.0
478,Grace,28.0,,New York,119563.0,2019-03-21,HR,,5.0
479,David,32.0,,Los Angeles,54058.0,2020-06-26,,True,2.0
480,Charlie,42.0,,Chicago,146074.0,2018-06-25,,,1.0
481,Frank,Unknown,,New York,131332.0,2015-12-30,,False,5.0
482,Grace,64.0,Male,nan,64020.0,2021-06-26,Support,,
483,David,37.0,Other,New York,127425.0,2015-10-13,,,4.0
484,David,55.0,,Los Angeles,64020.0,2015-05-29,HR,True,1.0
485,Grace,52.0,Other,Phoenix,119563.0,2018-01-12,Engineering,,3.0
486,,49.0,Other,New York,96017.0,2021-09-19,Support,False,2.0
487,Charlie,46.0,Male,New York,41664.0,2016-03-31,Engineering,True,
488,,53.0,,nan,119563.0,2019-11-02,Support,True,3.0
489,David,39.0,Female,nan,96017.0,2017-03-10,Engineering,,4.0
490,Frank,26.0,Male,Chicago,77924.0,2018-03-30,Finance,True,1.0
491,Eve,21.0,Female,nan,59402.0,2017-10-09,Engineering,True,4.0
492,Charlie,52.0,Other,Houston,136019.0,2022-10-02,,True,1.0
493,David,50.0,Other,Los Angeles,131371.0,2021-11-12,Finance,True,5.0
494,Eve,47.0,Male,Los Angeles,113559.0,2019-03-04,Engineering,True,2.0
495,Eve,26.0,Male,Phoenix,108617.0,2022-08-17,Support,True,5.0
496,Charlie,35.0,Female,Phoenix,70809.0,2021-12-31,Support,False,5.0
497,Eve,48.0,,Los Angeles,116123.0,2016-04-25,Support,,4.0
498,David,,Female,Phoenix,41555.0,2019-08-14,Marketing,False,2.0
499,Bob,21.0,Male,Chicago,83002.0,2020-12-01,HR,True,1.0
500,David,61.0,Female,nan,75420.0,2022-08-28,Support,True,1.0
